"Name","Location","Leg","Day","Category","Rating","Link"
"Coney Island + Luna Park","Luna Park Coney Island Brooklyn","New York & New Jersey","שלישי 21 ביולי","כיף לכולם","4.4","https://lunaparknyc.com/"
"Avalon","Avalon Alpharetta","Atlanta & Alpharetta","רביעי 22 ביולי","קרוב לבית","4.6","https://experienceavalon.com/"
"Topgolf Alpharetta","Topgolf Alpharetta","Atlanta & Alpharetta","רביעי 22 ביולי","כל הגילאים","4.4","https://topgolf.com/us/alpharetta/"
"Alpharetta City Center","Downtown Alpharetta City Center","Atlanta & Alpharetta","רביעי 22 ביולי","רגוע","4.8","https://awesomealpharetta.com/"
"Vickery Creek / Old Mill Park","Vickery Creek Old Mill Park Roswell GA","Atlanta & Alpharetta","חמישי 23 ביולי","הכי קרוב","4.7","https://www.nps.gov/chat/"
"BeltLine + Ponce City Market","Atlanta BeltLine Eastside Trail","Atlanta & Alpharetta","חמישי 23 ביולי","עירוני","4.8","https://beltline.org/parks-trails/eastside-trail/"
"Piedmont Park + Botanical Garden","Atlanta Botanical Garden","Atlanta & Alpharetta","חמישי 23 ביולי","נוף","4.7","https://atlantabg.org/"
"Stone Mountain Park","Stone Mountain Park","Atlanta & Alpharetta","חמישי 23 ביולי","נוף + מופע","4.6","https://stonemountainpark.com/"
"Six Flags Over Georgia","Six Flags Over Georgia","Atlanta & Alpharetta","שישי 24 ביולי","ריגושים   Gold Pass","4.1","https://www.sixflags.com/overgeorgia"
"Andretti Indoor Karting","Andretti Indoor Karting Marietta","Atlanta & Alpharetta","שישי 24 ביולי","מקורה","4.2","https://andrettikarting.com/marietta"
"iFLY Indoor Skydiving","iFLY Indoor Skydiving Atlanta","Atlanta & Alpharetta","שישי 24 ביולי","גיל 3+","4.6","https://www.iflyworld.com/atlanta"
"North Georgia Premium Outlets","North Georgia Premium Outlets Dawsonville","Atlanta & Alpharetta","שבת 25 ביולי","אאוטלט  המלצת בועז","4.4","https://www.premiumoutlets.com/outlet/north-georgia"
"Lenox Square","Lenox Square Atlanta","Atlanta & Alpharetta","שבת 25 ביולי","פרימיום","4.4","https://www.simon.com/mall/lenox-square"
"Phipps Plaza + LEGO Discovery","Phipps Plaza Atlanta","Atlanta & Alpharetta","שבת 25 ביולי","גם לקטנים","4.5","https://www.legodiscoverycenter.com/atlanta/"
"Lake Lanier · Margaritaville","Margaritaville at Lanier Islands","Atlanta & Alpharetta","ראשון 26 ביולי","קרוב לבית  המלצת בועז","","https://www.margaritavilleresorts.com/margaritaville-at-lanier-islands"
"Six Flags White Water","Six Flags White Water Marietta","Atlanta & Alpharetta","ראשון 26 ביולי","פארק המים הגדול   Gold Pass","3.9","https://www.sixflags.com/whitewater"
"Hurricane Harbor","Hurricane Harbor Six Flags Over Georgia","Atlanta & Alpharetta","ראשון 26 ביולי","משולב","","https://www.sixflags.com/overgeorgia/hurricane-harbor-atlanta"
"Georgia Aquarium","Georgia Aquarium","Atlanta & Alpharetta","ראשון 26 ביולי","מקורה","4.7","https://www.georgiaaquarium.org/"
"Rock City Gardens","Rock City Gardens Lookout Mountain GA","Atlanta & Alpharetta","שני 27 ביולי","נוף + סלעים  המלצת בועז","4.7","https://www.seerockcity.com/"
"Ruby Falls","Ruby Falls Chattanooga","Atlanta & Alpharetta","שני 27 ביולי","מערה","4.6","https://www.rubyfalls.com/"
"Cool River Tubing","Cool River Tubing Helen GA","Atlanta & Alpharetta","שלישי 28 ביולי","כיף לכולם  המלצת בועז","4.6","https://www.coolrivertubing.com/"
"Helen","Helen GA Main Street","Atlanta & Alpharetta","שלישי 28 ביולי","שיטוט","","https://explorehelen.com/"
"World of Coca-Cola","World of Coca-Cola","Atlanta & Alpharetta","רביעי 29 ביולי","כיף וקצר","4.4","https://www.worldofcoca-cola.com/"
"Sweetwater Creek State Park","Sweetwater Creek State Park GA","Atlanta & Alpharetta","רביעי 29 ביולי","טבע","4.8","https://gastateparks.org/SweetwaterCreek"
"Tony's Di Napoli","Tony's Di Napoli Times Square New York","New York & New Jersey","","מסעדה · איטלקי משפחתי","4.6","https://www.tonysnyc.com/times-square"
"Pylos","Pylos Restaurant East 7th St New York","New York & New Jersey","","מסעדה · יווני","4.6","https://pylosrestaurant.com/"
"Da Andrea","Da Andrea W 13th St New York","New York & New Jersey","","מסעדה · טרטוריה איטלקית","4.6","https://daandreanyc.com/"
"Cafe Mogador","Cafe Mogador Williamsburg Brooklyn","New York & New Jersey","","מסעדה · מרוקאי-ים תיכוני","4.6","https://www.cafemogador.com/"
"Win Son","Win Son Brooklyn","New York & New Jersey","","מסעדה · טייוואני-אמריקאי","4.6","https://winsonbrooklyn.com/"
"Rumba Cubana","Rumba Cubana Jersey City","New York & New Jersey","","מסעדה · קובני-לטיני","4.6","https://www.rumbacubana.com/"
"Misi","Misi Williamsburg Brooklyn","New York & New Jersey","","מסעדה · איטלקי · וויליאמסבורג","4.3",""
"KazuNori","KazuNori Hand Roll Bar New York","New York & New Jersey","","מסעדה · סושי · הנד-רול","4.7",""
"Tops Diner","Tops Diner East Newark NJ","New York & New Jersey","","מסעדה · דיינר אמריקאי","4.6",""
"Artie's","Artie's pizza New Jersey","New York & New Jersey","","מסעדה · פיצה","4.6",""
"Sadelle's","Sadelle's New York","New York & New Jersey","","מסעדה · בראנץ׳","4.3",""
"Black Seed Bagels","Black Seed Bagels Nolita New York","New York & New Jersey","","מסעדה · בייגלים","4.2",""
"Daily Provisions","Daily Provisions Manhattan West New York","New York & New Jersey","","מסעדה · קפה / מסעדה","4.1",""
"Levain Bakery","Levain Bakery New York","New York & New Jersey","","מסעדה · מאפייה · עוגיות","4.7",""
"Somedays Bakery","Somedays Bakery Montclair NJ","New York & New Jersey","","מסעדה · מאפייה · Montclair","4.7",""
"Liv Breads","Liv Breads Millburn NJ","New York & New Jersey","","מסעדה · מאפייה · Millburn","4.6",""
"SALSWEE","Salswee New Jersey","New York & New Jersey","","מסעדה · קינוחים","4.6",""
"Smokejack BBQ","Smokejack BBQ Alpharetta","Atlanta & Alpharetta","","מסעדה · ברביקיו דרומי","4.6","https://www.smokejackbbq.com/"
"Rena's Italian Fishery & Grill","Rena's Italian Fishery Grill Alpharetta","Atlanta & Alpharetta","","מסעדה · איטלקי / דגים","4.6","https://renasifg.com/"
"True Food Kitchen","True Food Kitchen Lenox Atlanta","Atlanta & Alpharetta","","מסעדה · אמריקאי בריא","4.6","https://www.truefoodkitchen.com/locations/atlanta/"
"The Capital Grille","The Capital Grille Buckhead Atlanta","Atlanta & Alpharetta","","מסעדה · סטייקהאוס / דגים","4.7","https://www.thecapitalgrille.com/locations/ga/atlanta/atlanta-buckhead-village/8016"
"9 Mile Station","9 Mile Station Ponce City Market Atlanta","Atlanta & Alpharetta","","מסעדה · אמריקאי על הגג","4.8","https://9milestation.com/"
"Ray's in the City","Ray's in the City Atlanta","Atlanta & Alpharetta","","מסעדה · דגים / סטייק","4.6","https://www.raysinthecity.com/"
